,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,141,"$419,450","$410,375",-2.16%,"$9,063",2.25%,25,
,November,235,"$414,795","$401,312",-3.25%,$900,0.22%,26,
,October,271,"$412,147","$400,412",-2.84%,"$4,312",1.08%,20,
,September,220,"$402,087","$396,100",-1.48%,"$9,475",2.45%,23,
,August,231,"$396,672","$386,625",-2.53%,"-$14,600",-3.63%,24,
,July,260,"$407,650","$401,225",-1.57%,"$17,850",4.65%,28,
,June,275,"$395,775","$383,375",-3.13%,"-$7,262",-1.85%,23,
,May,323,"$394,909","$390,637",-1.08%,"-$23,363",-5.64%,18,
,April,373,"$415,300","$414,000",-0.31%,"-$8,712",-2.06%,12,
,March,419,"$423,925","$422,712",-0.28%,"$27,712",7.01%,11,
,February,260,"$396,475","$395,000",-0.37%,"$1,938",0.49%,10,
,January,205,"$398,321","$393,062",-1.32%,"$3,125",0.8%,17,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,201,"$395,435","$389,937",-1.39%,"-$3,438",-0.87%,15,
,November,260,"$397,525","$393,375",-1.04%,"$4,375",1.12%,12,
,October,296,"$389,950","$389,000",-0.24%,"$1,563",0.4%,12,
,September,320,"$385,675","$387,437",0.45%,"$17,500",4.73%,11,
,August,333,"$372,424","$369,937",-0.66%,"$1,750",0.47%,14,
,July,432,"$376,610","$368,187",-2.23%,"$5,950",1.64%,16,
,June,438,"$368,134","$362,237",-1.6%,"$9,675",2.74%,22,
,May,435,"$360,984","$352,562",-2.33%,"$3,187",0.91%,26,
,April,346,"$359,650","$349,375",-2.85%,"$19,175",5.8%,23,
,March,214,"$342,900","$330,200",-3.7%,"-$1,025",-0.3%,27,
,February,145,"$345,360","$331,225",-4.09%,"-$11,900",-3.46%,32,
,January,93,"$354,732","$343,125",-3.27%,"$343,125",0%,45,
