,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,78,"$198,650","$194,375",-2.15%,"$40,875",26.62%,33,
,November,79,"$159,575","$153,500",-3.8%,"-$53,000",-25.66%,23,
,October,121,"$228,200","$206,500",-9.5%,"$11,250",5.76%,32,
,September,114,"$201,987","$195,250",-3.33%,"-$16,250",-7.68%,26,
,August,118,"$220,325","$211,500",-4%,"-$1,875",-0.87%,38,
,July,110,"$217,875","$213,375",-2.06%,"$8,625",4.21%,32,
,June,144,"$210,775","$204,750",-2.85%,"-$3,937",-1.88%,24,
,May,153,"$212,450","$208,687",-1.77%,"$17,687",9.26%,28,
,April,161,"$194,961","$191,000",-2.03%,"-$8,906",-4.45%,37,
,March,149,"$202,762","$199,906",-1.4%,"$5,906",3.04%,24,
,February,147,"$198,337","$194,000",-2.18%,"-$5,362",-2.68%,27,
,January,91,"$203,187","$199,362",-1.88%,"-$16,325",-7.56%,18,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,64,"$221,300","$215,687",-2.53%,"$24,187",12.63%,63,
,November,109,"$196,900","$191,500",-2.74%,"$191,500",0%,35,
,October,0,$0,$0,0%,"-$195,500",-100%,0,
,September,125,"$200,650","$195,500",-2.56%,"$11,432",6.21%,30,
,August,155,"$189,300","$184,068",-2.76%,"$33,331",22.11%,33,
,July,148,"$152,937","$150,737",-1.43%,"-$69,950",-31.69%,14,
,June,183,"$226,025","$220,687",-2.36%,"$35,387",19.09%,25,
,May,177,"$190,200","$185,300",-2.57%,"$1,738",0.94%,41,
,April,143,"$190,325","$183,562",-3.55%,"-$7,499",-3.92%,44,
,March,123,"$196,486","$191,061",-2.76%,"$33,211",21.03%,54,
,February,93,"$161,175","$157,850",-2.06%,"$18,475",13.25%,42,
,January,68,"$145,212","$139,375",-4.01%,"$139,375",0%,31,
