,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,June,333,"$414,575","$404,375",-2.46%,"$27,125",7.19%,22,
,May,384,"$383,400","$377,250",-1.6%,"-$13,500",-3.45%,19,
,April,435,"$390,612","$390,750",0.03%,"$14,188",3.76%,16,
,March,383,"$379,712","$376,562",-0.82%,"-$10,188",-2.63%,15,
,February,337,"$389,460","$386,750",-0.69%,"$18,875",5.13%,16,
,January,242,"$373,260","$367,875",-1.44%,"-$11,000",-2.9%,17,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,245,"$390,537","$378,875",-2.98%,"$24,438",6.89%,20,
,November,348,"$363,312","$354,437",-2.44%,"-$17,688",-4.75%,22,
,October,409,"$375,525","$372,125",-0.9%,"$9,875",2.72%,21,
,September,407,"$368,537","$362,250",-1.7%,-$737,-0.2%,19,
,August,376,"$370,200","$362,987",-1.94%,"$7,600",2.13%,34,
,July,454,"$363,200","$355,387",-2.15%,"$14,887",4.37%,31,
,June,554,"$348,025","$340,500",-2.16%,"-$7,362",-2.11%,31,
,May,530,"$356,906","$347,862",-2.53%,"$15,873",4.78%,39,
,April,436,"$339,562","$331,989",-2.23%,"$14,489",4.56%,34,
,March,298,"$325,425","$317,500",-2.43%,"-$2,875",-0.89%,33,
,February,236,"$329,250","$320,375",-2.69%,"-$14,125",-4.22%,34,
,January,112,"$345,397","$334,500",-3.15%,"$334,500",0%,39,
