Address,Postal Code,Latitude,Longitude,City,Neighbourhood,Price(in CAD),# of Bathrooms,# of Bedrooms,Height(in stories),# of Kitchens,# of Parking Spaces,Lot-Size(in km^2), Total Lot Size(in km^2),Basement(finished or not),House HTML
"15 Iceboat Terr Parking, Waterfront Communities C1, Toronto M5V4B3",M5V4B3,43.762195,-79.500702,Toronto,Waterfront Communities C1,48900,0,0,,,,,,No Basement,https://toronto.listing.ca/15-iceboat-terr-parking.C4374841.htm#15-4am
"10 Capreol Crt Parking, Waterfront Communities C1, Toronto M5V4B3",M5V4B3,43.759692,-79.409071,Toronto,Waterfront Communities C1,49000,0,0,,,,,,No Basement,https://toronto.listing.ca/10-capreol-crt-parking.C4522655.htm#15-oq
"35 Mariner Terr Parking, Waterfront Communities C1, Toronto M5V3V9",M5V3V9,43.640136,-79.391381,Toronto,Waterfront Communities C1,49000,0,0,,,,,,No Basement,https://toronto.listing.ca/35-mariner-terr-parking.C4374848.htm#15-4ao
"70 Concession 2 Tr, Kirkfield, Kawartha Lakes K0M2B0",K0M2B0,44.923972,-78.757699,Kawartha-lakes,Kirkfield,49900,0,0,,,,510.45 x 10.91,5569.0095,No Basement,https://kawartha-lakes.listing.ca/70-concession-2-tr.X4423162.htm#20y-8h
"16 Brookers Lane, Mimico, Toronto M8V0A5",M8V0A5,43.696534,-79.2921,Toronto,Mimico,49900,0,0,,,,,,No Basement,https://toronto.listing.ca/16-brookers-lane.W4516947.htm#15-17s
"11 Brunel Parking Crt, Waterfront Communities C1, Toronto M5V3Y3",M5V3Y3,43.789087,-79.147858,Toronto,Waterfront Communities C1,49999,0,0,,,,,,No Basement,https://toronto.listing.ca/11-brunel-parking-crt.C4421475.htm#15-44r
"19 Grand Trunk Cres, Waterfront Communities C1, Toronto M5J3A3",M5J3A3,43.622398,-79.492143,Toronto,Waterfront Communities C1,50000,0,0,,,,,,No Basement,https://toronto.listing.ca/19-grand-trunk-cres.C4503949.htm#15-26n
"151 Dan Leckie Way Parking, Waterfront Communities C1, Toronto M5V4B2",M5V4B2,43.762195,-79.500702,Toronto,Waterfront Communities C1,54500,0,0,,,,,,No Basement,https://toronto.listing.ca/151-dan-leckie-way-parking.C4374852.htm#15-4al
"530 St Clair Ave P1-1, Forest Hill South, Toronto M6C0A2",M6C0A2,43.76979828,-79.41057757,Toronto,Forest Hill South,55000,0,0,,,,,,No Basement,https://toronto.listing.ca/530-st-clair-ave-p1-1.C4370155.htm#15-4az
"8 Charlotte St E-25, Waterfront Communities C1, Toronto M5V0K4",M5V0K4,43.65491517,-79.37898333,Toronto,Waterfront Communities C1,60000,0,0,,,,,,No Basement,https://toronto.listing.ca/8-charlotte-st-e-25.C4494735.htm#15-2no
"85 Queens Wharf Rd, Waterfront Communities C1, Toronto M5V0J9",M5V0J9,43.7701199,-79.4084928,Toronto,Waterfront Communities C1,60000,0,0,,,,,,No Basement,https://toronto.listing.ca/85-queens-wharf-rd.C4431660.htm#15-428
"761 Bay St, Bay Street Corridor, Toronto M5G2R3",M5G2R3,43.660013,-79.385482,Toronto,Bay Street Corridor,63000,0,0,,,,,,No Basement,https://toronto.listing.ca/761-bay-st.C4516163.htm#15-1a6
"761 Bay St, Bay Street Corridor, Toronto M5G2R3",M5G2R3,43.660013,-79.385482,Toronto,Bay Street Corridor,63000,0,0,,,,,,No Basement,https://toronto.listing.ca/761-bay-st.C4516164.htm#15-1a7
"352 Front St, Waterfront Communities C1, Toronto M5V0K3",M5V0K3,43.645675,-79.393534,Toronto,Waterfront Communities C1,65000,0,0,,,,,,No Basement,https://toronto.listing.ca/352-front-st.C4518022.htm#15-151
